#
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       4.1250000      -3.2815714       3.3353982       54.342857
       4.1354167      -1.1458571       2.4690465       108.89143
       4.1458333      -1.0130000       4.1724393       68.457143
       4.1562500      0.28033333       3.4336084      -49.234286
       4.1666667      -2.0387143       5.1244280      -176.80000
       4.1770833      -3.4030000       4.7532883       18.214286
       4.1875000      -1.6592500       4.8319205      -83.600000
       4.1979167      -5.1446667       5.2282327      -37.414286
       4.2083333      -2.4387143       4.7859790      -12.100000
       4.2187500      -5.3967500       3.9839354       23.847619
       4.2291667      -1.9418889       4.4678559       63.409091
       4.2395833      -4.0757273       4.2263674      -56.800000
       4.2500000      -3.1252222       3.9830195      -38.509091
       4.2604167      -4.8780000       3.2398774      -53.533333
       4.2708333      -4.2405000       3.2747683       147.20000
       4.2812500      -1.8113333       2.7326574       123.40000
       4.2916667      -1.6696667       4.2562503       71.371429
       4.3020833     -0.32442857       4.2820222      -109.25714
       4.3125000      -3.9458571       4.8615351      -141.17143
       4.3229167      -3.2655000       5.7891987      -39.771429
       4.3333333      -4.7744286       5.0324660       8.4857143
       4.3437500      -3.0887143       6.2095836      -12.971429
       4.3541667      -5.0446667       4.9633070      -15.385714
       4.3645833      -3.4092500       4.9260559       61.280000
       4.3750000      -3.7680000       4.1370313      -8.5800000
       4.3854167      -3.5880000       4.1741965      -2.9890909
       4.3958333      -3.8302727       4.1751864      -73.020000
       4.4062500      -5.1092500       3.4798848       66.709091
       4.4166667      -2.4405000       2.7363623       202.86000
       4.4270833     -0.88300000       1.7584084       165.00000
       4.4375000      0.99700000       2.5374340       210.24000
       4.4479167       3.4970000       2.0227869       124.56000
       4.4583333       3.5920000       4.9067669       27.200000
       4.4687500       4.0636667       3.4261738       82.740000
       4.4791667       5.3157500       4.4727698       94.240000
       4.4895833       6.0270000       4.9810390       80.700000
       4.5000000       6.9970000       4.6273257       130.21714
       4.5104167       8.7398571       4.6511135       60.218182
       4.5208333       8.2515455       4.3713530       83.809524
       4.5312500       10.485889       4.8586764       70.690909
       4.5416667       9.7242727       4.2459018       20.633333
       4.5520833       10.915750       4.5359625       57.624242
       4.5625000       10.924778       4.3982320       175.74000
       4.5729167       14.577000       4.3021216       74.671238
       4.5833333       12.480429       4.6304164       37.632000
       4.5937500       15.361000       4.3072376       11.595429
       4.6041667       12.722000       3.6556219      -145.57200
       4.6145833       12.328250       4.6297900      -29.200000
       4.6250000       12.113667       4.4446222      -28.500000
       4.6354167       11.734500       4.0188618      -56.960000
       4.6458333       10.927000       3.1762006      -26.600000
       4.6562500       11.180333       4.8401963      -2.3400000
       4.6666667       10.878250       3.5738072      -61.600000
       4.6770833       9.8970000       2.7225142      -40.585714
       4.6875000       10.032714       2.3784999       22.254545
       4.6979167       10.360636       2.1913570       43.885714
       4.7083333       10.947000       2.2253090      -128.19740
       4.7187500       7.6898571       2.5092211      -99.771429
       4.7291667       8.8684286       2.7804162       101.14286
       4.7395833       9.7970000       1.8595698       52.671429
       4.7500000       9.9657500       2.0558171       28.500000
       4.7604167       10.390750       1.8540376      -43.500000
       4.7708333       9.0595000       2.4896572      -51.540000
       4.7812500       9.3170000       3.2458820      -57.900000
       4.7916667       7.8532500       3.1168250      -41.074286
       4.8020833       8.4612857       2.9554631      -42.540000
       4.8125000       6.9670000       2.8593123      -40.285714
       4.8229167       7.6220000       2.7278655      -7.6800000
       4.8333333       6.8070000       2.0769636      -19.066667
       4.8437500       7.2247778       2.1597325      -52.251429
       4.8541667       5.7184286       1.3508815      -22.133333
       4.8645833       6.7636667       1.3216152       18.571429
       4.8750000       6.1053333      0.95990451      -6.9714286
       4.8854167       6.6184286       1.2469487      -1.9000000
       4.8958333       6.0657500       1.0736911      -26.228571
       4.9062500       6.0720000       1.0292161      -32.442857
       4.9166667       5.3898571       1.0806744      -65.314286
       4.9270833       4.7112857       1.6105678      -93.657143
       4.9375000       3.4386667       1.9835364      -87.685714
