#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       4.4270833      0.10585000    0.0016263456       1.6026000
       4.4375000      -999.00000      -999.00000      -999.00000
       4.4479167      0.17772500     0.093251895       1.4748000
       4.4583333      0.18280000      0.10366185      0.62280000
       4.4687500      0.19070000      0.10033819    -0.043200000
       4.4791667      0.18190000     0.095459415       5.0184000
       4.4895833      0.29525000     0.077428193       6.9760000
       4.5000000      -999.00000      -999.00000      -999.00000
       4.5104167      0.27785000     0.057770624      -7.4016000
       4.5208333      0.16655000     0.098217132      -3.9128000
       4.5312500      0.19633333     0.074675052      -1.1096000
       4.5416667      0.14343333     0.089456209      -3.8693333
       4.5520833      -999.00000      -999.00000      -999.00000
       4.5625000      0.11320000     0.016546299      0.46080000
       4.5729167      -999.00000      -999.00000      -999.00000
       4.5833333      0.16263333     0.085254110       2.5808000
       4.5937500      0.19060000     0.094045202      0.93800000
       4.6041667      0.18217500     0.072003582      0.32880000
       4.6145833      0.19745000     0.064417428       1.9084000
       4.6250000      0.22193333     0.049399629       1.7568000
       4.6354167      -999.00000      -999.00000      -999.00000
       4.6458333      0.23380000     0.011030866      0.56240000
       4.6562500      -999.00000      -999.00000      -999.00000
       4.6666667      0.24536667      0.19103990      -2.8954667
       4.6770833      0.19723333     0.032808739      -3.0704000
       4.6875000      0.18140000     0.019657569     -0.91600000
       4.6979167      0.17815000    0.0055861436    -0.079200000
       4.7083333      -999.00000      -999.00000      -999.00000
       4.7187500      0.18620000    0.0038183766       2.7528000
       4.7291667      0.22720000     0.043274935       1.8528000
       4.7395833      0.22480000     0.045885437      0.31920000
       4.7500000      0.23385000     0.048012550      0.15360000
       4.7604167      0.22800000     0.040767798      -1.3848000
       4.7708333      0.20500000     0.027718586       1.2528000
       4.7812500      0.25410000     0.019798990       2.4864000
       4.7916667      -999.00000      -999.00000      -999.00000
       4.8020833      0.21310000    0.0067882251       1.1584000
       4.8125000      0.24145000     0.019869701      0.55040000
       4.8229167      0.22456667    0.0030501366      -1.1304000
       4.8333333      0.21790000     0.018142767    -0.064266667
       4.8437500      -999.00000      -999.00000      -999.00000
       4.8541667      0.24055000   0.00035355339      0.35520000
       4.8645833      -999.00000      -999.00000      -999.00000
       4.8750000      0.23270000    0.0080894994     -0.42960000
       4.8854167      0.22795000     0.018172644       1.2168000
       4.8958333      0.25805000     0.042432495      0.99840000
       4.9062500      0.24875000     0.049143921      0.15760000
       4.9166667      0.26133333     0.032707237      0.82720000
       4.9270833      -999.00000      -999.00000      -999.00000
       4.9375000      0.26270000    0.0056568542      0.28880000
       4.9479167      -999.00000      -999.00000      -999.00000
       4.9583333      0.27336667     0.050203818       3.6394667
       4.9687500      0.32756667      0.10121904      0.89200000
       4.9791667      0.29195000     0.090014693       3.5200000
       4.9895833      0.40090000     0.016970563     0.057600000
       5.0000000      0.29315000     0.091146064      -6.7632000
       5.0104167      0.26000000     0.021778889      -5.7492000
       5.0208333      0.17337500     0.056241229      -4.3488000
       5.0312500      0.16940000     0.060811183     -0.76200000
       5.0416667      0.15750000     0.070254727     -0.94320000
       5.0520833      0.14975000     0.091428907       1.1696000
       5.0625000      0.18186667     0.071519251       2.7224000
       5.0729167      -999.00000      -999.00000      -999.00000
       5.0833333      0.22355000     0.011950105     -0.19440000
       5.0937500      -999.00000      -999.00000      -999.00000
       5.1041667      0.17376667     0.080037575     -0.47760000
       5.1145833      0.17875000     0.069650018     -0.10280000
       5.1250000      0.17162500     0.048664523      -1.4620000
       5.1354167      -999.00000      -999.00000      -999.00000
       5.1458333      0.10875000    0.0065760931      -1.9230000
       5.1562500      -999.00000      -999.00000      -999.00000
       5.1666667     0.091500000    0.0021213203       3.6642667
       5.1770833      0.15306667     0.075575150       3.0368000
       5.1875000      0.15476667     0.034344189       1.1552000
       5.1979167      0.17713333     0.041953109     -0.71360000
       5.2083333      0.13990000     0.042540216      0.41120000
       5.2187500      0.18570000     0.011596551       3.0168000
       5.2291667      -999.00000      -999.00000      -999.00000
       5.2395833      0.19105000    0.0024748737     -0.73740000
       5.2500000      -999.00000      -999.00000      -999.00000
       5.2604167      0.15497500     0.034577582     -0.19800000
       5.2708333      0.16090000     0.048366104      -1.8372000
       5.2812500      0.11670000   0.00098994949      -2.6160000
       5.2916667      -999.00000      -999.00000      -999.00000
       5.3020833      0.13000000    0.0016970563       1.8672000
       5.3125000      0.15585000     0.018031223       1.2032000
       5.3229167      0.15506667    0.0072016202     -0.28880000
       5.3333333      0.14983333    0.0096027774    -0.011200000
       5.3437500      0.15483333    0.0015502688      0.71840000
       5.3541667      0.16480000     0.015026976       1.4034667
       5.3645833      -999.00000      -999.00000      -999.00000
       5.3750000      0.21265000     0.089024744      0.22800000
       5.3854167      -999.00000      -999.00000      -999.00000
       5.3958333      0.17430000     0.015074150      -1.0936000
       5.4062500      0.16680000     0.013010765     -0.28440000
       5.4166667      0.16837500     0.021332350      0.30040000
       5.4270833      -999.00000      -999.00000      -999.00000
       5.4375000      0.18085000    0.0070003571      0.17460000
       5.4479167      -999.00000      -999.00000      -999.00000
       5.4583333      0.17565000    0.0047376154      -1.4752000
       5.4687500      0.15390000     0.015397727     -0.77360000
       5.4791667      0.15953333    0.0037819748     -0.37920000
       5.4895833      0.14600000     0.010451794     -0.63680000
       5.5000000      0.14626667     0.023374416      -1.5720000
       5.5104167      0.11325000    0.0054447222      -2.1650667
       5.5208333      -999.00000      -999.00000      -999.00000
       5.5312500      0.11000000    0.0028284271       1.2192000
       5.5416667      -999.00000      -999.00000      -999.00000
       5.5520833      0.16405000     0.065350771    -0.024800000
       5.5625000      0.15015000     0.056922096       3.2592000
       5.5729167      0.23195000     0.024960869       4.6192000
       5.5833333      -999.00000      -999.00000      -999.00000
       5.5937500      0.19345000    0.0045961941      -4.2512000
       5.6041667      0.13665000     0.081246569      -1.7320000
       5.6145833      0.15736667     0.059635755      0.13360000
       5.6250000      0.13943333     0.044768888       1.7072000
       5.6354167      0.19293333     0.061429336     -0.57440000
       5.6458333      0.12746667     0.066555416      -5.0397333
